18:06:39.351389 mmap(0x7f4f04197000, 824, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0) = 0x7f4f04197000
18:06:39.376378 mmap(NULL, 175320, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 27, 0) = 0x7f4f04119000
18:06:39.376477 mmap(0x7f4f04124000, 90112, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0xb000) = 0x7f4f04124000
18:06:39.376544 mmap(0x7f4f0413a000, 28672, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x21000) = 0x7f4f0413a000
18:06:39.376599 mmap(0x7f4f04141000, 12288, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x27000) = 0x7f4f04141000
18:06:39.393912 mmap(NULL, 37680, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 28, 0) = 0x7f4f06408000
18:06:39.394050 mmap(0x7f4f0640b000, 12288, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 28, 0x3000) = 0x7f4f0640b000
18:06:39.394121 mmap(0x7f4f0640e000, 4096, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 28, 0x6000) = 0x7f4f0640e000
18:06:39.394177 mmap(0x7f4f06410000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 28, 0x7000) = 0x7f4f06410000
18:06:39.446926 mmap(NULL, 211544, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 28, 0) = 0x7f4f040e5000
18:06:39.447075 mmap(0x7f4f040ef000, 118784, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 28, 0xa000) = 0x7f4f040ef000
18:06:39.447145 mmap(0x7f4f0410c000, 36864, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 28, 0x27000) = 0x7f4f0410c000
18:06:39.447200 mmap(0x7f4f04116000, 12288, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 28, 0x30000) = 0x7f4f04116000
18:06:39.531009 mmap(NULL, 1052672, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0) = 0x7f4ee2d67000
